Standard Make,Standard Model,Standard Sub-model or Variant,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Vehicle Category,Market,Validation Status,Primary Source Name,Primary Source URL,Secondary Source Name,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Hyundai,Elantra,Touring,Trim,2009-2012,2009,2012,1,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2009&make=HYUNDAI&issueType=r,2026-07-18,Added - External Research (V2),No,ELANTRA TOURING,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s).
Hyundai,Santa Fe,Ultimate,Trim,2014-2018,2014,2018,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Santa Fe Ultimate 2WD,Value explicit in EPA certification model strings; observed in 5 model year(s).
Hyundai,Santa Fe Sport,Ultimate,Trim,2015-2018,2015,2018,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Santa Fe Sport Ultimate AWD,Value explicit in EPA certification model strings; observed in 4 model year(s).
Hyundai,Santa Fe XL,Ultimate,Trim,2019,2019,2019,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Santa Fe XL Ultimate AWD,Value explicit in EPA certification model strings; observed in 1 model year(s).
Hyundai,Sonata,Limited,Trim,2013-2017,2013,2017,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Sonata Hybrid Limited,Value explicit in EPA certification model strings; observed in 5 model year(s).
Hyundai,Sonata,SE,Trim,2016-2019,2016,2019,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Sonata Hybrid SE,Value explicit in EPA certification model strings; observed in 4 model year(s).
Hyundai,Sonata Sport,Limited,Trim,2015-2017,2015,2017,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Sonata Sport Limited,Value explicit in EPA certification model strings; observed in 3 model year(s).
Jaguar,F-PACE,SVR,Trim,2021-2026,2021,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,F-Pace SVR,Value explicit in EPA certification model strings; observed in 6 model year(s).
Jaguar,F-TYPE,SVR,Trim,2019-2020,2019,2020,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,F-Type SVR AWD Convertible,Value explicit in EPA certification model strings; observed in 2 model year(s).
Jaguar,XJ,Sport,Trim,2002-2003,2002,2003,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,XJ Sport,Value explicit in EPA certification model strings; observed in 2 model year(s).
Jaguar,X-Type,Sport,Trim,2005-2008,2005,2008,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,X-Type Sport Brake,Value explicit in EPA certification model strings; observed in 4 model year(s).
Jeep,Cherokee,Trailhawk,Trim,2014-2023,2014,2023,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Cherokee Trailhawk 4WD,Value explicit in EPA certification model strings; observed in 10 model year(s).
Jeep,Gladiator,Rubicon,Trim,2021,2021,2021,1,Discontinued,Pickup Truck,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Gladiator Rubicon EcoDiesel 4WD,Value explicit in EPA certification model strings; observed in 1 model year(s).
Jeep,Grand Cherokee,Trackhawk,Trim,2018-2021,2018,2021,1,Discontinued,SUV/Crossover,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=JEEP&issueType=r,2026-07-18,Added - External Research (V2),No,GRAND CHEROKEE TRACKHAWK,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s).
Jeep,Renegade,Trailhawk,Trim,2019-2023,2019,2023,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Renegade Trailhawk 4WD,Value explicit in EPA certification model strings; observed in 5 model year(s).
Jeep,Wagoneer,Limited,Trim,1989,1989,1989,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Wagoneer Limited 4WD,Value explicit in EPA certification model strings; observed in 1 model year(s).
Jeep,Wrangler,Rubicon,Trim,2024,2024,2024,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Wrangler Rubicon 2dr 4WD,Value explicit in EPA certification model strings; observed in 1 model year(s).
Karma,Revero,GT,Trim,2020,2020,2020,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Revero GT (21-inch wheels),Value explicit in EPA certification model strings; observed in 1 model year(s).
Kia,EV6,GT,Trim,2023-2026,2023,2026,1,Active,Multiple Categories,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,EV6 AWD GT,Value explicit in EPA certification model strings; observed in 4 model year(s).
Kia,EV9,GT,Trim,2026,2026,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,EV9 GT,Value explicit in EPA certification model strings; observed in 1 model year(s).
Kia,Niro,Touring,Trim,2017-2022,2017,2022,1,Discontinued,Multiple Categories,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Niro Touring,Value explicit in EPA certification model strings; observed in 6 model year(s).
Lamborghini,Urus,SE,Trim,2025-2026,2025,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Urus SE,Value explicit in EPA certification model strings; observed in 2 model year(s).
Land Rover,Range Rover Sport,SVR,Trim,2018-2022; 2024-2026,2018,2026,2,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Range Rover Sport SVR,Value explicit in EPA certification model strings; observed in 8 model year(s).
Lotus,Evora,GT,Trim,2020-2021,2020,2021,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Evora GT,Value explicit in EPA certification model strings; observed in 2 model year(s).
Lucid,Air,GT,Trim,2023,2023,2023,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Air GT P AWD with 21 inch wheels,Value explicit in EPA certification model strings; observed in 1 model year(s).
Lucid,Air,Touring,Trim,2022-2026,2022,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Air G Touring AWD w/19 inch wheels,Value explicit in EPA certification model strings; observed in 5 model year(s).
Lucid,Gravity,GT,Trim,2025-2026,2025,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Gravity GT w/20F21R wheels (2R),Value explicit in EPA certification model strings; observed in 2 model year(s).
Lucid,Gravity,Touring,Trim,2026,2026,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Gravity Touring w/20F21R wheels,Value explicit in EPA certification model strings; observed in 1 model year(s).
Maserati,Ghibli,GT,Trim,2022-2024,2022,2024,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Ghibli GT,Value explicit in EPA certification model strings; observed in 3 model year(s).
Maserati,Grecale,GT,Trim,2023-2024,2023,2024,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Grecale GT,Value explicit in EPA certification model strings; observed in 2 model year(s).
Maserati,Levante,GT,Trim,2022-2024,2022,2024,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Levante GT,Value explicit in EPA certification model strings; observed in 3 model year(s).
Maserati,Quattroporte,GT,Trim,2022-2024,2022,2024,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Quattroporte GT,Value explicit in EPA certification model strings; observed in 3 model year(s).
Mazda,Mazda6,Sport,Trim,2004-2007,2004,2007,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,6 Sport Wagon,Value explicit in EPA certification model strings; observed in 4 model year(s).
Mercedes-Benz,SLS AMG,GT,Trim,2013-2015,2013,2015,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,SLS AMG GT Coupe,Value explicit in EPA certification model strings; observed in 3 model year(s).
Mini,Clubman,John Cooper Works,Trim,2009-2014; 2017-2024,2009,2024,2,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Clubman,Value explicit in EPA certification model strings; observed in 14 model year(s).
Mini,Convertible,JCW,Trim,2011-2014; 2025-2026,2011,2026,2,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW CONVERTIBLE,Value explicit in EPA certification model strings and NHTSA recall records; observed in 6 model year(s).
Mini,Convertible,John Cooper Works,Trim,2009-2015; 2017-2024,2009,2024,2,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Convertible,Value explicit in EPA certification model strings; observed in 15 model year(s).
Mini,Cooper,JCW,Trim,2015; 2017; 2026,2015,2026,3,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2015&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s).
Mini,Countryman,JCW,Trim,2013-2016; 2018-2026,2013,2026,2,Active,Multiple Categories,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2013&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW COUNTRYMAN,Value explicit in EPA certification model strings and NHTSA recall records; observed in 13 model year(s).
Mini,Countryman,SE,Trim,2018-2023; 2025-2027,2018,2027,2,Active,Multiple Categories,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,COUNTRYMAN SE,Value explicit in EPA certification model strings and NHTSA recall records; observed in 9 model year(s).
Mini,Coupe,John Cooper Works,Trim,2012-2015,2012,2015,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Coupe,Value explicit in EPA certification model strings; observed in 4 model year(s).
Mini,Hardtop,JCW,Trim,2011-2013; 2016; 2025,2011,2025,3,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,COOPER JCW HARDTOP,Value explicit in EPA certification model strings and NHTSA recall records; observed in 5 model year(s).
Mini,Hardtop,John Cooper Works,Trim,2015-2024,2015,2024,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Hardtop,Value explicit in EPA certification model strings; observed in 10 model year(s).
Mini,Hardtop,SE,Trim,2020-2024,2020,2024,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Cooper SE Hardtop 2 door,Value explicit in EPA certification model strings; observed in 5 model year(s).
Mini,Paceman,JCW,Trim,2013-2016,2013,2016,1,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2013&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW PACEMAN,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s).
Mini,Roadster,John Cooper Works,Trim,2012-2015,2012,2015,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Roadster,Value explicit in EPA certification model strings; observed in 4 model year(s).
Nissan,Altima,Platinum,Trim,2019-2022,2019,2022,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Altima AWD SR/Platinum,Value explicit in EPA certification model strings; observed in 4 model year(s).
Nissan,Altima,SR,Trim,2016-2025,2016,2025,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Altima AWD SR/Platinum,Value explicit in EPA certification model strings; observed in 10 model year(s).
Nissan,JUKE,Nismo,Trim,2015-2017,2015,2017,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Juke Nismo RS,Value explicit in EPA certification model strings; observed in 3 model year(s).
Nissan,JUKE,RS,Trim,2015-2017,2015,2017,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Juke Nismo RS,Value explicit in EPA certification model strings; observed in 3 model year(s).
Nissan,Pathfinder,Platinum,Trim,2015-2020; 2022-2026,2015,2026,2,Active,Multiple Categories,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Pathfinder 4WD Platinum,Value explicit in EPA certification model strings; observed in 11 model year(s).
Nissan,Rogue,Platinum,Trim,2021-2025,2021,2025,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Rogue AWD  SV/SL/Platinum,Value explicit in EPA certification model strings; observed in 5 model year(s).
Nissan,Sentra,Nismo,Trim,2017-2019,2017,2019,1,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=NISSAN&issueType=r,2026-07-18,Added - External Research (V2),No,SENTRA NISMO,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s).
Nissan,Sentra,SR,Trim,2019-2026,2019,2026,1,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2019&make=NISSAN&issueType=r,2026-07-18,Added - External Research (V2),No,SENTRA SR TURBO,Value explicit in EPA certification model strings and NHTSA recall records; observed in 8 model year(s).
Nissan,Z,Nismo,Trim,2024-2026,2024,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Z NISMO,Value explicit in EPA certification model strings; observed in 3 model year(s).
Oldsmobile,Ninety-Eight,Touring,Trim,1988-1991,1988,1991,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Ninety-Eight/Touring,Value explicit in EPA certification model strings; observed in 4 model year(s).
Pontiac,G5,GT,Trim,2009-2010,2009,2010,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,G5 GT,Value explicit in EPA certification model strings; observed in 2 model year(s).
Porsche,718 Boxster,GTS,Trim,2021-2025,2021,2025,1,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2021&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,718 BOXSTER GTS 4.0,Value explicit in EPA certification model strings and NHTSA recall records; observed in 5 model year(s).
Porsche,718 Boxster,RS,Trim,2024-2025,2024,2025,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,718 Spyder RS,Value explicit in EPA certification model strings; observed in 2 model year(s).
Porsche,718 Cayman,GTS,Trim,2019; 2021-2025,2019,2025,2,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2019&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,718 CAYMAN GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 6 model year(s).
Porsche,718 GT4,RS,Trim,2023-2025,2023,2025,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,718 GT4 RS,Value explicit in EPA certification model strings; observed in 3 model year(s).
Porsche,911,GTS,Trim,2011-2012; 2015-2019; 2022-2026,2011,2026,3,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 C4 GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 12 model year(s).
Porsche,911,RS,Trim,2007-2008; 2010-2011; 2015-2016; 2018-2019; 2023-2024,2007,2024,5,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2007&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 GT2 RS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 10 model year(s).
Porsche,911,Sport,Trim,2023,2023,2023,1,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2023&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 SPORT CLASSIC II,Value explicit in EPA certification model strings and NHTSA recall records; observed in 1 model year(s).
Porsche,911,Touring,Trim,2018-2019; 2022-2024; 2026,2018,2026,3,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 GT3 TOURING,Value explicit in EPA certification model strings and NHTSA recall records; observed in 6 model year(s).
Porsche,928,GTS,Trim,1993-1995,1993,1995,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,928 GTS,Value explicit in EPA certification model strings; observed in 3 model year(s).
Porsche,Boxster,GTS,Trim,2015-2016; 2018-2019,2015,2019,2,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2015&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,BOXSTER GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s).
Porsche,Cayenne,GT,Trim,2022-2023; 2025-2026,2022,2026,2,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Cayenne Turbo GT,Value explicit in EPA certification model strings; observed in 4 model year(s).
Porsche,Cayenne,GTS,Trim,2008-2010; 2012-2018; 2021-2023; 2025-2026,2008,2026,4,Active,SUV/Crossover,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2008&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,CAYENNE GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 15 model year(s).
Porsche,Cayenne,Platinum,Trim,2017-2018; 2023,2017,2023,2,Discontinued,SUV/Crossover,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,CAYENNE COUPE PLATINUM EDITION,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s).
