Raw or Alias Make,Raw or Alias Model,Canonical Make,Canonical Model,Alias Type,Source File or Source Name,Confidence,Notes
Mercedes Benz,CLA200,Mercedes-Benz,CLA-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,CLA250 CLA45 AMG,Mercedes-Benz,CLA-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,CLA-Class designations.
Mercedes Benz,CLK Class,Mercedes-Benz,CLK-Class,Punctuation Variant,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Normalized Punctuation).
Mercedes Benz,E200 E250 E350,Mercedes-Benz,E-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,E-Class designations; E200 was not a US designation but the E-Class itself is fully US-verified.
Mercedes Benz,E300,Mercedes-Benz,E-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,E300 E400,Mercedes-Benz,E-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,E-Class designations.
Mercedes Benz,E350,Mercedes-Benz,E-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,E350 Coupe,Mercedes-Benz,E-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,E400,Mercedes-Benz,E-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,E550 E350,Mercedes-Benz,E-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,E-Class designations.
Mercedes Benz,GL Class,Mercedes-Benz,GL-Class,Punctuation Variant,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Normalized Punctuation).
Mercedes Benz,GL350 GL450,Mercedes-Benz,GL-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,GL-Class designations.
Mercedes Benz,GL450,Mercedes-Benz,GL-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,GLA250 X156,Mercedes-Benz,GLA-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,GLC,Mercedes-Benz,GLC-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,GLC Class,Mercedes-Benz,GLC-Class,Punctuation Variant,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Normalized Punctuation).
Mercedes Benz,GLE330d GLE350 GLE400 GLE43AMG,Mercedes-Benz,GLE-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,Medium,Grouped designations resolve to the GLE-Class; 'GLE330d' is not a known US variant (GLE300d/GLE350d exist) - flagged separately in the validation review file.
Mercedes Benz,GLE350 450,Mercedes-Benz,GLE-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,GLE-Class designations.
Mercedes Benz,GLS350d GLS450,Mercedes-Benz,GLS-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,GLS-Class designations.
Mercedes Benz,ML,Mercedes-Benz,M-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,ML350,Mercedes-Benz,M-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,R230,Mercedes-Benz,SL-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,R230 is the 2001-2011 SL-Class chassis code.
Mercedes Benz,R230 SL500,Mercedes-Benz,SL-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,R230 is the SL-Class chassis code.
Mercedes Benz,R350,Mercedes-Benz,R-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,SL300 SL320 SL500 SL600,Mercedes-Benz,SL-Class,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,SL-Class designations; SL300 was not a US designation but the SL-Class itself is fully US-verified.
Mercedes Benz,SL500,Mercedes-Benz,SL-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,SL55 AMG,Mercedes-Benz,SL-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,SLK,Mercedes-Benz,SLK-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Mercedes Benz,W220,Mercedes-Benz,S-Class,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,W220 is the 1998-2005 S-Class chassis code.
Nissan,Armada Platinum,Nissan,Armada,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Nissan,Maxima GLE,Nissan,Maxima,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Nissan,NV1500,Nissan,NV Cargo,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Nissan,Pathfinder Platinum,Nissan,Pathfinder,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Pontiac,Firebird Trans,Pontiac,Firebird,Model and Trim Combined,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,"Truncated 'Trans Am', the Firebird performance variant."
Suzuki,XL7,Suzuki,XL-7,Punctuation Variant,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Official punctuation 'XL-7' (2001-2006); 2007-2009 dropped the hyphen - single canonical row retained.
Toyota,4Runner Limited,Toyota,4Runner,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Toyota,Camry LE,Toyota,Camry,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Toyota,Solara,Toyota,Camry Solara,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Toyota,Tundra Sequoia,Toyota,Tundra; Sequoia,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Grouped platform-mates; both exist as standalone models.
Volkswagen,Golf R32,Volkswagen,Golf,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Audi,A4 S Line,Audi,A4,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,A4 S-Line,Audi,A4,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,A5 Sportback S Line,Audi,A5 Sportback,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,A5 Sportback S-Line,Audi,A5 Sportback,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,Q3 S Line,Audi,Q3,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,Q3 S-Line,Audi,Q3,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,Q5 S Line,Audi,Q5,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,Q5 S-Line,Audi,Q5,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,Q5 Sportback S Line,Audi,Q5 Sportback,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Audi,Q5 Sportback S-Line,Audi,Q5 Sportback,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Hyundai,Genesis R Spec,Hyundai,Genesis,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Hyundai,Genesis R-Spec,Hyundai,Genesis,Model and Trim Combined,V2 merge audit,High,Reclassified in V2: trim/package value removed from canonical Models; maps to its base model. Candidate recorded in the sub-model review pipeline.
Lamborghini,144 - Diablo,Lamborghini,Diablo,Other Verified Alias,V2 merge audit,High,Internal project-code form of the official model name.
Lamborghini,144 Diablo,Lamborghini,Diablo,Other Verified Alias,V2 merge audit,High,Internal project-code form of the official model name.
