Candidate ID,Standard Make,Standard Model,Candidate Value,Candidate Model Years,Proposed Canonical Value,Proposed Classification,Confirmed Model Years,US Market Confirmed,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Official Naming Evidence,Research Outcome,Version 4 Action,Notes
HP-053,BMW,5 Series,535I,1986; 1988-1994; 2008-2017,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-054,BMW,5 Series,535XI,2008; 2012-2013,535Xi,Trim,2008; 2012-2013,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-055,BMW,5 Series,540I,1994-1995; 1997-2003; 2017-2027,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-056,BMW,5 Series,550I,2006-2017,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-057,BMW,5 Series,M550I,2018-2023,M550I,Trim,2018-2023,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-058,BMW,6 Series,640I,2012-2019,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-059,BMW,6 Series,650I,2012-2019,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-060,BMW,7 Series,735I,1987-1992; 1995,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-061,BMW,7 Series,735IL,1989-1992,735Il,Trim,1989-1992,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-062,BMW,7 Series,740I,1993-2001; 2011-2026,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-063,BMW,7 Series,740IL,1993-2001,740Il,Trim,1993-2001,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-064,BMW,7 Series,740LI,2011-2016,740Li,Trim,2011-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-065,BMW,7 Series,745I,2001-2005,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-066,BMW,7 Series,750I,1991; 2006-2022,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-067,BMW,7 Series,750IL,1989-2001,750Il,Trim,1989-2001,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-068,BMW,7 Series,750LI,2006-2016,750Li,Trim,2006-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-069,BMW,7 Series,760LI,2003-2008; 2010-2015,760Li,Trim,2003-2008; 2010-2015,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-070,BMW,7 Series,ACTIVEHYBRID,2011-2015,Activehybrid,Trim,2011-2015,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-071,BMW,7 Series,M760I,2017-2022,M760I,Trim,2017-2022,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-072,BMW,8 Series,840CI,1994-1997,840Ci,Trim,1994-1997,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-073,BMW,8 Series,850CI,1992-1997,850Ci,Trim,1992-1997,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-074,BMW,8 Series,850CSI,1994-1995,850Csi,Trim,1994-1995,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-075,BMW,8 Series,850I,1991-1992,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-076,BMW,8 Series,M850I,2019-2026,M850I,Trim,2019-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-077,BMW,M2,COMPETITION,2019-2021,Competition,Trim,2019-2021,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-078,BMW,X1,SDRIVE28I,2013-2015; 2017-2022,sDrive28i,Drivetrain Variant,2013-2015; 2017-2022,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-079,BMW,X1,XDRIVE28I,2013-2026,xDrive28i,Drivetrain Variant,2013-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-080,BMW,X1,XDRIVE35I,2013-2015,xDrive35i,Drivetrain Variant,2013-2015,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-081,BMW,X3,SDRIVE28I,2015; 2017,sDrive28i,Drivetrain Variant,2015; 2017,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-082,BMW,X3,XDRIVE28D,2015-2016,xDrive28d,Drivetrain Variant,2015-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-083,BMW,X3,XDRIVE28I,2011-2017,xDrive28i,Drivetrain Variant,2011-2017,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-084,BMW,X3,XDRIVE35I,2011-2017,xDrive35i,Drivetrain Variant,2011-2017,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-085,BMW,X4,XDRIVE28I,2015-2018,xDrive28i,Drivetrain Variant,2015-2018,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-086,BMW,X4,XDRIVE35I,2015-2016,xDrive35i,Drivetrain Variant,2015-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-087,BMW,X5,SDRIVE35I,2014-2018,sDrive35i,Drivetrain Variant,2014-2018,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-088,BMW,X5,XDRIVE35D,2009-2016,xDrive35d,Drivetrain Variant,2009-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-089,BMW,X5,XDRIVE35I,2011-2018,xDrive35i,Drivetrain Variant,2011-2018,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-090,BMW,X5,XDRIVE50I,2011-2020,xDrive50i,Drivetrain Variant,2011-2020,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-091,BMW,X6,XDRIVE35I,2008-2019,xDrive35i,Drivetrain Variant,2008-2019,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-092,BMW,X6,XDRIVE50I,2008-2019,xDrive50i,Drivetrain Variant,2008-2019,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-093,BMW,Z4,M40I,2020-2026,M40I,Trim,2020-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-094,BMW,Z4,SDRIVE28I,2012-2016,sDrive28i,Drivetrain Variant,2012-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-095,BMW,Z4,SDRIVE30I,2009-2011; 2019-2026,sDrive30i,Drivetrain Variant,2009-2011; 2019-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-096,BMW,Z4,SDRIVE35I,2009-2016,sDrive35i,Drivetrain Variant,2009-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-097,BMW,Z4,SDRIVE35IS,2011-2016,sDrive35is,Drivetrain Variant,2011-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-098,BMW,i3,REX,2014-2019,REX,Trim,2014-2019,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-099,BMW,i4,EDRIVE40,2022-2026,Edrive40,Trim,2022-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-100,BMW,i4,XDRIVE40,2024-2026,xDrive40,Drivetrain Variant,2024-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims.",Approved as Drivetrain Variant,Added to the vehicle configuration catalog.,"BMW xDrive/sDrive designations combine drivetrain and engine output; official BMW nomenclature treats them as drivetrain/powertrain designations of the series model, not trims."
HP-101,Cadillac,Fleetwood,BROUGHAM,1985-1986; 1990,Brougham,Trim,1985-1986; 1990,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
